Survived,Pclass,Sex,Age,Fare,RecordedCabinNumber,isAlone,Embarked_C,Embarked_Q,Embarked_S,Titles_Master,Titles_Military,Titles_Miss,Titles_Mr,Titles_Mrs,Titles_Other,Titles_Royal
0.0,3,1,0.2711736617240512,0.9164539485499251,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,1,0,0.4722292033174164,1.8590379714909278,1,0.0,1,0,0,0,0,0,0,1,0,0
1.0,3,0,0.32143754712239253,0.9506082247842308,0,1.0,0,0,1,0,0,1,0,0,0,0
1.0,1,0,0.4345312892686604,1.7331972651065695,1,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.4345312892686604,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9758130849255795,0,1.0,0,1,0,0,0,0,1,0,0,0
0.0,1,1,0.6732847449107816,1.7231476981549567,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.01985423473234481,1.3439007122496063,0,0.0,0,0,1,1,0,0,0,0,0,0
1.0,3,0,0.33400351847197784,1.083978935811046,0,0.0,0,0,1,0,0,0,0,1,0,0
1.0,2,0,0.17064589092736868,1.492352435460081,0,0.0,1,0,0,0,0,0,0,1,0,0
1.0,3,0,0.04498617743151546,1.2479732663618066,1,0.0,0,0,1,0,0,1,0,0,0,0
1.0,1,0,0.723548630309123,1.440121603187804,1,1.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.24604171902488062,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4847951746670017,1.5088662509384578,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.17064589092736868,0.9471493276626374,0,1.0,0,0,1,0,0,1,0,0,0,0
1.0,2,0,0.685850716260367,1.2304489213782739,0,1.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.01985423473234481,1.4789270555829248,0,0.0,0,1,0,1,0,0,0,0,0,0
1.0,2,1,0.37170143252073384,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.38426740387031916,1.2787536009528289,0,0.0,0,0,1,0,0,0,0,1,0,0
1.0,3,0,0.4345312892686604,0.9151359066220119,0,1.0,1,0,0,0,0,0,0,1,0,0
0.0,2,1,0.4345312892686604,1.4313637641589874,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,1,0.4219653179190751,1.146128035678238,1,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.18321186227695402,0.9556492729074468,0,1.0,0,1,0,0,0,1,0,0,0,0
1.0,1,1,0.34656948982156316,1.5622928644564746,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.09525006282985675,1.3439007122496063,0,0.0,0,0,1,0,0,1,0,0,0,0
1.0,3,0,0.4722292033174164,1.5103774259938814,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.37170143252073384,0.9151359066220119,0,1.0,1,0,0,0,0,0,1,0,0,0
0.0,1,1,0.2334757476752953,2.4216039268698313,1,0.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,0.9483738383870792,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,3,1,0.37170143252073384,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.49736114601658704,1.458196532741108,0,1.0,1,0,0,0,0,0,0,0,1,0
1.0,1,0,0.4345312892686604,2.1688532588793175,1,0.0,1,0,0,0,0,0,0,1,0,0
1.0,3,0,0.2586076903744659,0.9420080530223133,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,2,1,0.8240764011058055,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.34656948982156316,1.9199708788780554,0,0.0,1,0,0,0,0,0,1,0,0,0
0.0,1,1,0.5224930887157577,1.724275869600789,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,3,1,0.37170143252073384,0.9153576174148317,0,1.0,1,0,0,0,0,0,1,0,0,0
0.0,3,1,0.2586076903744659,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.22090977632571,1.2787536009528289,0,0.0,0,0,1,0,0,1,0,0,0,0
1.0,3,0,0.17064589092736868,1.0878417322991751,0,0.0,1,0,0,0,0,1,0,0,0,0
0.0,3,0,0.49736114601658704,1.0201540316383328,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,2,0,0.33400351847197784,1.3424226808222062,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.37170143252073384,0.9491850103134346,0,1.0,1,0,0,0,0,0,1,0,0,0
1.0,2,0,0.032420206081930136,1.6291974974299364,0,0.0,1,0,0,0,0,1,0,0,0,0
1.0,3,0,0.2334757476752953,0.9483738383870792,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,3,1,0.37170143252073384,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,1.2174839442139063,0,0.0,0,1,0,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,0.9420080530223133,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,3,1,0.37170143252073384,1.3556277309213418,0,0.0,1,0,0,0,0,0,1,0,0,0
